sample_id,trajectory_id,step_id,changed_parameter,raw_changed_parameter,raw_JuvenileLeaves,actual_JuvenileLeaves,raw_Rmax_LTAR,actual_Rmax_LTAR,raw_Rmax_LTIR,actual_Rmax_LTIR,raw_PhyllFrmTassel,actual_PhyllFrmTassel,raw_StayGreen,actual_StayGreen,raw_LM_min,actual_LM_min,raw_Diffx,actual_Diffx,raw_Diffz,actual_Diffz,raw_thetaR,actual_thetaR,raw_thetaS,actual_thetaS,raw_Alfa,actual_Alfa,raw_n,actual_n,raw_Ks,actual_Ks
12,1,11,JuvenileLeaves,JuvenileLeaves,17.333333333333332,17,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
13,1,12,Rmax_LTAR,Rmax_LTAR,17.333333333333332,17,0.477,0.477,0.96,0.96,2.9,2.9,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.6133333333333333,1.6133333333333333,22.5,22.5
14,1,13,n,n,17.333333333333332,17,0.477,0.477,0.96,0.96,2.9,2.9,4.65,4.65,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.086,0.086,0.4443333333333333,0.4443333333333333,0.032,0.032,1.4,1.4,22.5,22.5
15,2,0,,,16.0,16,0.477,0.477,0.88,0.88,3.3,3.3,4.35,4.35,130.0,130.0,20.666666666666668,20.666666666666668,1.1,1.1,0.086,0.086,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,27.5,27.5
16,2,1,Ks,Ks,16.0,16,0.477,0.477,0.88,0.88,3.3,3.3,4.35,4.35,130.0,130.0,20.666666666666668,20.666666666666668,1.1,1.1,0.086,0.086,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,24.166666666666668,24.166666666666668
17,2,2,StayGreen,StayGreen,16.0,16,0.477,0.477,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,1.1,1.1,0.086,0.086,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,24.166666666666668,24.166666666666668
18,2,3,thetaR,thetaR,16.0,16,0.477,0.477,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,1.1,1.1,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,24.166666666666668,24.166666666666668
19,2,4,Rmax_LTAR,Rmax_LTAR,16.0,16,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,1.1,1.1,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,24.166666666666668,24.166666666666668
20,2,5,Diffz,Diffz,16.0,16,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.6133333333333333,1.6133333333333333,24.166666666666668,24.166666666666668
21,2,6,n,n,16.0,16,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.4,1.4,24.166666666666668,24.166666666666668
22,2,7,Diffx,Diffx,16.0,16,0.5456666666666666,0.5456666666666666,0.88,0.88,3.3,3.3,4.95,4.95,130.0,130.0,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.4,1.4,24.166666666666668,24.166666666666668
23,2,8,Rmax_LTIR,Rmax_LTIR,16.0,16,0.5456666666666666,0.5456666666666666,0.96,0.96,3.3,3.3,4.95,4.95,130.0,130.0,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.032,0.032,1.4,1.4,24.166666666666668,24.166666666666668
24,2,9,Alfa,Alfa,16.0,16,0.5456666666666666,0.5456666666666666,0.96,0.96,3.3,3.3,4.95,4.95,130.0,130.0,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.037333333333333336,0.037333333333333336,1.4,1.4,24.166666666666668,24.166666666666668
25,2,10,PhyllFrmTassel,PhyllFrmTassel,16.0,16,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.95,4.95,130.0,130.0,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.037333333333333336,0.037333333333333336,1.4,1.4,24.166666666666668,24.166666666666668
26,2,11,LM_min,LM_min,16.0,16,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.95,4.95,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.037333333333333336,0.037333333333333336,1.4,1.4,24.166666666666668,24.166666666666668
27,2,12,JuvenileLeaves,JuvenileLeaves,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.95,4.95,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.037333333333333336,0.037333333333333336,1.4,1.4,24.166666666666668,24.166666666666668
28,2,13,thetaS,thetaS,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.96,0.96,2.9,2.9,4.95,4.95,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.037333333333333336,0.037333333333333336,1.4,1.4,24.166666666666668,24.166666666666668
29,3,0,,,17.333333333333332,17,0.58,0.58,1.0,1.0,3.1,3.1,4.65,4.65,118.33333333333333,118.33333333333333,19.333333333333332,19.333333333333332,0.9,0.9,0.07533333333333334,0.07533333333333334,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
30,3,1,thetaR,thetaR,17.333333333333332,17,0.58,0.58,1.0,1.0,3.1,3.1,4.65,4.65,118.33333333333333,118.33333333333333,19.333333333333332,19.333333333333332,0.9,0.9,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
31,3,2,PhyllFrmTassel,PhyllFrmTassel,17.333333333333332,17,0.58,0.58,1.0,1.0,2.7,2.7,4.65,4.65,118.33333333333333,118.33333333333333,19.333333333333332,19.333333333333332,0.9,0.9,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
32,3,3,LM_min,LM_min,17.333333333333332,17,0.58,0.58,1.0,1.0,2.7,2.7,4.65,4.65,130.0,130.0,19.333333333333332,19.333333333333332,0.9,0.9,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
33,3,4,Diffz,Diffz,17.333333333333332,17,0.58,0.58,1.0,1.0,2.7,2.7,4.65,4.65,130.0,130.0,19.333333333333332,19.333333333333332,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
34,3,5,Diffx,Diffx,17.333333333333332,17,0.58,0.58,1.0,1.0,2.7,2.7,4.65,4.65,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
35,3,6,StayGreen,StayGreen,17.333333333333332,17,0.58,0.58,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
36,3,7,JuvenileLeaves,JuvenileLeaves,20.0,20,0.58,0.58,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.72,1.72,27.5,27.5
37,3,8,n,n,20.0,20,0.58,0.58,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.037333333333333336,0.037333333333333336,1.5066666666666666,1.5066666666666666,27.5,27.5
38,3,9,Alfa,Alfa,20.0,20,0.58,0.58,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.032,0.032,1.5066666666666666,1.5066666666666666,27.5,27.5
39,3,10,Rmax_LTAR,Rmax_LTAR,20.0,20,0.5113333333333333,0.5113333333333333,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.032,0.032,1.5066666666666666,1.5066666666666666,27.5,27.5
40,3,11,Ks,Ks,20.0,20,0.5113333333333333,0.5113333333333333,1.0,1.0,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
41,3,12,Rmax_LTIR,Rmax_LTIR,20.0,20,0.5113333333333333,0.5113333333333333,0.92,0.92,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.473,0.473,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
42,3,13,thetaS,thetaS,20.0,20,0.5113333333333333,0.5113333333333333,0.92,0.92,2.7,2.7,4.05,4.05,130.0,130.0,22.0,22.0,1.0333333333333334,1.0333333333333334,0.086,0.086,0.4156666666666667,0.4156666666666667,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
43,4,0,,,17.333333333333332,17,0.58,0.58,0.88,0.88,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,20.666666666666668,20.666666666666668,0.9,0.9,0.07,0.07,0.387,0.387,0.037333333333333336,0.037333333333333336,1.5066666666666666,1.5066666666666666,27.5,27.5
44,4,1,Alfa,Alfa,17.333333333333332,17,0.58,0.58,0.88,0.88,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,20.666666666666668,20.666666666666668,0.9,0.9,0.07,0.07,0.387,0.387,0.032,0.032,1.5066666666666666,1.5066666666666666,27.5,27.5
45,4,2,Ks,Ks,17.333333333333332,17,0.58,0.58,0.88,0.88,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,20.666666666666668,20.666666666666668,0.9,0.9,0.07,0.07,0.387,0.387,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
46,4,3,Diffx,Diffx,17.333333333333332,17,0.58,0.58,0.88,0.88,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.07,0.07,0.387,0.387,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
47,4,4,Rmax_LTIR,Rmax_LTIR,17.333333333333332,17,0.58,0.58,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,0.9,0.9,0.07,0.07,0.387,0.387,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
48,4,5,LM_min,LM_min,17.333333333333332,17,0.58,0.58,0.96,0.96,2.7,2.7,4.35,4.35,130.0,130.0,18.0,18.0,0.9,0.9,0.07,0.07,0.387,0.387,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
49,4,6,thetaS,thetaS,17.333333333333332,17,0.58,0.58,0.96,0.96,2.7,2.7,4.35,4.35,130.0,130.0,18.0,18.0,0.9,0.9,0.07,0.07,0.4443333333333333,0.4443333333333333,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
50,4,7,PhyllFrmTassel,PhyllFrmTassel,17.333333333333332,17,0.58,0.58,0.96,0.96,3.1,3.1,4.35,4.35,130.0,130.0,18.0,18.0,0.9,0.9,0.07,0.07,0.4443333333333333,0.4443333333333333,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
51,4,8,thetaR,thetaR,17.333333333333332,17,0.58,0.58,0.96,0.96,3.1,3.1,4.35,4.35,130.0,130.0,18.0,18.0,0.9,0.9,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.5066666666666666,1.5066666666666666,24.166666666666668,24.166666666666668
52,4,9,n,n,17.333333333333332,17,0.58,0.58,0.96,0.96,3.1,3.1,4.35,4.35,130.0,130.0,18.0,18.0,0.9,0.9,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.72,1.72,24.166666666666668,24.166666666666668
53,4,10,Diffz,Diffz,17.333333333333332,17,0.58,0.58,0.96,0.96,3.1,3.1,4.35,4.35,130.0,130.0,18.0,18.0,1.0333333333333334,1.0333333333333334,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.72,1.72,24.166666666666668,24.166666666666668
54,4,11,Rmax_LTAR,Rmax_LTAR,17.333333333333332,17,0.5113333333333333,0.5113333333333333,0.96,0.96,3.1,3.1,4.35,4.35,130.0,130.0,18.0,18.0,1.0333333333333334,1.0333333333333334,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.72,1.72,24.166666666666668,24.166666666666668
55,4,12,StayGreen,StayGreen,17.333333333333332,17,0.5113333333333333,0.5113333333333333,0.96,0.96,3.1,3.1,4.95,4.95,130.0,130.0,18.0,18.0,1.0333333333333334,1.0333333333333334,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.72,1.72,24.166666666666668,24.166666666666668
56,4,13,JuvenileLeaves,JuvenileLeaves,20.0,20,0.5113333333333333,0.5113333333333333,0.96,0.96,3.1,3.1,4.95,4.95,130.0,130.0,18.0,18.0,1.0333333333333334,1.0333333333333334,0.08066666666666666,0.08066666666666666,0.4443333333333333,0.4443333333333333,0.032,0.032,1.72,1.72,24.166666666666668,24.166666666666668
57,5,0,,,20.0,20,0.477,0.477,0.88,0.88,2.7,2.7,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.034666666666666665,0.034666666666666665,1.5066666666666666,1.5066666666666666,22.5,22.5
58,5,1,Alfa,Alfa,20.0,20,0.477,0.477,0.88,0.88,2.7,2.7,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.04,0.04,1.5066666666666666,1.5066666666666666,22.5,22.5
59,5,2,Rmax_LTIR,Rmax_LTIR,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.04,0.04,1.5066666666666666,1.5066666666666666,22.5,22.5
60,5,3,Ks,Ks,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.4156666666666667,0.4156666666666667,0.04,0.04,1.5066666666666666,1.5066666666666666,25.833333333333332,25.833333333333332
61,5,4,thetaS,thetaS,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.95,4.95,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.5066666666666666,1.5066666666666666,25.833333333333332,25.833333333333332
62,5,5,StayGreen,StayGreen,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.35,4.35,130.0,130.0,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.5066666666666666,1.5066666666666666,25.833333333333332,25.833333333333332
63,5,6,LM_min,LM_min,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.5066666666666666,1.5066666666666666,25.833333333333332,25.833333333333332
64,5,7,Diffx,Diffx,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.5066666666666666,1.5066666666666666,25.833333333333332,25.833333333333332
65,5,8,n,n,20.0,20,0.477,0.477,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
66,5,9,Rmax_LTAR,Rmax_LTAR,20.0,20,0.5456666666666666,0.5456666666666666,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,0.9666666666666667,0.9666666666666667,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
67,5,10,Diffz,Diffz,20.0,20,0.5456666666666666,0.5456666666666666,0.96,0.96,2.7,2.7,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,1.1,1.1,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
68,5,11,PhyllFrmTassel,PhyllFrmTassel,20.0,20,0.5456666666666666,0.5456666666666666,0.96,0.96,3.1,3.1,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,1.1,1.1,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
69,5,12,JuvenileLeaves,JuvenileLeaves,17.333333333333332,17,0.5456666666666666,0.5456666666666666,0.96,0.96,3.1,3.1,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,1.1,1.1,0.07533333333333334,0.07533333333333334,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
70,5,13,thetaR,thetaR,17.333333333333332,17,0.5456666666666666,0.5456666666666666,0.96,0.96,3.1,3.1,4.35,4.35,118.33333333333333,118.33333333333333,18.0,18.0,1.1,1.1,0.086,0.086,0.473,0.473,0.04,0.04,1.72,1.72,25.833333333333332,25.833333333333332
71,6,0,,,18.666666666666668,19,0.5456666666666666,0.5456666666666666,1.0,1.0,2.7,2.7,4.35,4.35,124.16666666666667,124.16666666666667,18.0,18.0,1.1,1.1,0.08066666666666666,0.08066666666666666,0.387,0.387,0.034666666666666665,0.034666666666666665,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
72,6,1,Diffz,Diffz,18.666666666666668,19,0.5456666666666666,0.5456666666666666,1.0,1.0,2.7,2.7,4.35,4.35,124.16666666666667,124.16666666666667,18.0,18.0,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.034666666666666665,0.034666666666666665,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
73,6,2,Rmax_LTIR,Rmax_LTIR,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,2.7,2.7,4.35,4.35,124.16666666666667,124.16666666666667,18.0,18.0,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.034666666666666665,0.034666666666666665,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
74,6,3,Alfa,Alfa,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,2.7,2.7,4.35,4.35,124.16666666666667,124.16666666666667,18.0,18.0,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
75,6,4,LM_min,LM_min,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,2.7,2.7,4.35,4.35,112.5,112.5,18.0,18.0,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
76,6,5,Diffx,Diffx,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,2.7,2.7,4.35,4.35,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
77,6,6,PhyllFrmTassel,PhyllFrmTassel,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.35,4.35,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,25.833333333333332,25.833333333333332
78,6,7,Ks,Ks,18.666666666666668,19,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.35,4.35,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,22.5,22.5
79,6,8,JuvenileLeaves,JuvenileLeaves,16.0,16,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.35,4.35,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.08066666666666666,0.08066666666666666,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,22.5,22.5
80,6,9,thetaR,thetaR,16.0,16,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.35,4.35,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07,0.07,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,22.5,22.5
81,6,10,StayGreen,StayGreen,16.0,16,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.95,4.95,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07,0.07,0.387,0.387,0.04,0.04,1.6133333333333333,1.6133333333333333,22.5,22.5
82,6,11,n,n,16.0,16,0.5456666666666666,0.5456666666666666,0.92,0.92,3.1,3.1,4.95,4.95,112.5,112.5,20.666666666666668,20.666666666666668,0.9666666666666667,0.9666666666666667,0.07,0.07,0.387,0.387,0.04,0.04,1.4,1.4,22.5,22.5
